iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,num_samples,time_VF,VF_error_before,VF_error_after
88,1.266218900680542,-166.602711350335,0.001650855588204808,-166.60073252835957,-166.60601217499425,9.533431404405166,0.1,0.0045855045318603516,0.10309004783630371,0.053387847,0.009721315,-166.44271140830182,12000,0.43738698959350586,4.066487389273436e-07,4.887429950954689e-07
89,1.3280706405639648,-166.60136683925268,0.0011924602123033958,-166.60072739342135,-166.60637520821467,12.361061440549737,0.1,0.004438638687133789,0.1050260066986084,0.054238733,0.007591278,-166.4585769513969,12000,0.45568251609802246,4.860921646280049e-07,1.929799145286519e-06
90,1.3000590801239014,-166.60082442500547,0.0004466665269260976,-166.60072739342135,-166.60296578258027,14.228289094967739,0.1,0.005017518997192383,0.1051168441772461,0.05097869,0.0074005965,-166.47280169875776,12000,0.5129294395446777,1.9199692573789808e-06,9.281925720424377e-07
91,1.2515952587127686,-166.60091789450033,0.0003465758416931815,-166.60072739342135,-166.60214536508394,9.884080419695662,0.1,0.006592512130737305,0.15166330337524414,0.055347767,0.008848071,-166.485613318332,12000,0.537705659866333,9.270846542899263e-07,8.963973641513451e-07
92,1.2491326332092285,-166.60083793430724,0.00020822700524657337,-166.60072739342135,-166.60142622207567,13.67254268577243,0.1,0.0066699981689453125,0.13654828071594238,0.049114354,0.00781366,-166.49713577992952,12000,0.4984431266784668,8.965747439007472e-07,1.5539806664735582e-06
93,1.315046787261963,-166.6007915398811,0.00016890783223838144,-166.60072739342135,-166.60135518138856,13.296155390408549,0.1,0.005769968032836914,0.10877633094787598,0.056622803,0.0071326573,-166.5075013559247,12000,0.5278294086456299,1.554530230352835e-06,1.1586164676371658e-06
94,1.2783071994781494,-166.60075621491922,0.00011416648076702162,-166.60072739342135,-166.60129215177835,11.16297825095319,0.1,0.006281137466430664,0.12448716163635254,0.05318042,0.012203181,-166.51682684182416,12000,0.5823392868041992,1.1585122245264505e-06,4.116205120004752e-06
95,1.2429027557373047,-166.60072739342135,0.0,-166.60072739342135,-166.60072739342135,10.132807565832643,0.1,0.006842136383056641,0.13236570358276367,0.050664347,0.019062473,-166.52521689698386,12000,0.6000673770904541,4.116932895210693e-06,1.0840866323033053e-06
96,1.2568418979644775,-166.60072739342135,0.0,-166.60072739342135,-166.60072739342135,11.108447627038663,0.1,0.006990909576416016,0.10937356948852539,0.052311752,0.0073571936,-166.53276794662762,12000,0.5947623252868652,1.0840866323033053e-06,7.72352580659719e-07
97,1.2717742919921875,-166.60072739342135,0.0,-166.60072739342135,-166.60072739342135,15.543765549619545,0.1,0.0066492557525634766,0.14024591445922852,0.04890734,0.00518406,-166.53956389130698,12000,0.5114912986755371,7.72352580659719e-07,4.145789518987942e-07
98,1.2569580078125,-166.60079201016708,0.00021752885661469913,-166.60072739342135,-166.6017129903458,21.609006097674534,0.1,0.006392240524291992,0.12479305267333984,0.053031825,0.0054390794,-166.545686703193,12000,0.4840388298034668,4.1455820291187095e-07,1.0816781746103217e-06
99,1.273845911026001,-166.60073568788607,2.6831754845522305e-05,-166.60072739342135,-166.60085404325284,11.341497572682117,0.1,0.005478382110595703,0.11397314071655273,0.046553407,0.010379981,-166.55119160166234,12000,0.46798205375671387,1.0814569123143972e-06,7.325961977025416e-07
